state_code,state_name,legislation_type,key_provisions,effective_date,physician_admin_allowed,wellness_allowed,aesthetics_allowed,risk_level,notes,source_url,last_updated
LA,Louisiana,right_to_try_standard,Standard RTT adopted 2014,19/06/2014,0,0,0,medium,Standard RTT; growing regenerative market in New Orleans and Baton Rouge; no specific physician exemption for exosome/cell therapy; monitor for new legislation,,01/05/2025
ME,Maine,right_to_try_standard,Standard RTT adopted,08/04/2014,0,0,0,medium,Standard RTT; small market; no specific exemption; limited commercial priority,,01/05/2025
MD,Maryland,none,No RTT law; no cell therapy exemption; FDA-adjacent geography,NA,0,0,0,high,FDA-adjacent geography (Bethesda/Rockville FDA campus nearby); active state oversight; not favorable for non-IND exosome entry,,01/05/2025
MA,Massachusetts,none,No RTT law; no specific cell therapy exemption; strong state oversight; active enforcement,NA,0,0,0,high,Strong state-level oversight; significant biotech research hub but restrictive for non-IND commercial entry; unfavorable initial market,,01/05/2025
MI,Michigan,right_to_try_standard,Standard RTT adopted October 2014,22/10/2014,0,0,0,medium,Standard RTT; significant healthcare market; Detroit and Grand Rapids markets; no specific cell therapy exemption; monitor,,01/05/2025
MN,Minnesota,right_to_try_standard,Standard RTT adopted,22/05/2014,0,0,0,medium,Standard RTT; moderate environment; Mayo Clinic proximity makes market research-minded; no specific exemption,,01/05/2025
MS,Mississippi,right_to_try_standard,Standard RTT adopted,01/05/2015,0,0,0,medium,Standard RTT; limited regulatory enforcement capacity; some commercial opportunity in wellness channel; low market density,,01/05/2025
MO,Missouri,right_to_try_standard,Standard RTT adopted,10/07/2014,0,0,0,medium,Standard RTT; growing wellness markets in Kansas City and St Louis; no specific cell therapy physician exemption; monitor for new legislation,,01/05/2025
MT,Montana,right_to_try_expanded,SB 535 expands RTT to include experimental autologous treatments that have passed Phase I safety trials; LC0780/SB535 establishes framework for experimental treatment centers providing pathways for innovative regenerative therapies under controlled conditions,01/01/2025,1,0,0,medium,SB 535 active; focused on autologous treatments and experimental center framework; not allogeneic-specific but provides physician cover and attracts biotech/clinic investment; Montana actively courting regenerative medicine companies; verify exact effective date and allogeneic scope,https://www.foreverlabs.com/articles/blog/when-can-i-use-my-stem-cells,12/01/2026
NE,Nebraska,right_to_try_standard,Standard RTT; Nebraska was early adopter,30/08/2015,0,0,0,medium,Standard RTT; rural market; no specific cell therapy exemption; limited commercial priority,,01/05/2025
NV,Nevada,right_to_try_standard,Standard RTT adopted; growing wellness and medical tourism market in Las Vegas,09/06/2015,0,0,0,medium,Standard RTT; significant wellness and aesthetics market in Las Vegas; medical tourism draw; no specific cell therapy exemption but limited enforcement in wellness channel; commercial opportunity exists; monitor for new legislation inspired by FL and UT,,01/05/2025
NH,New Hampshire,right_to_try_state_expanded,HB 1292 permits access to certain regenerative therapies under state-level medical freedom framework,01/01/2025,1,1,0,low,HB 1292 medical freedom framework for regenerative therapies; verify exact scope effective date and provider eligibility requirements; smaller market but permissive posture; align with wellness and longevity channel,https://www.foreverlabs.com/articles/blog/when-can-i-use-my-stem-cells,12/01/2026
NJ,New Jersey,none,No RTT law; no cell therapy exemption; active state oversight,NA,0,0,0,high,Active state oversight; unfavorable for non-IND exosome entry; avoid initially,,01/05/2025
NM,New Mexico,right_to_try_standard,Standard RTT adopted March 2014,10/03/2014,0,0,0,medium,Standard RTT; growing wellness market in Santa Fe and Albuquerque; no specific cell therapy physician exemption; monitor,,01/05/2025
NY,New York,none,No RTT law; active NY DOH enforcement; no cell therapy exemption,NA,0,0,0,high,Highly restrictive; NY DOH active enforcement; avoid for commercial non-IND exosome entry; research/academic market only,,01/05/2025
NC,North Carolina,right_to_try_standard,Standard RTT adopted,10/08/2015,0,0,0,medium,Standard RTT; growing aesthetics and wellness market in Charlotte and Raleigh; Research Triangle biotech presence but regulatory-minded; no specific cell therapy exemption; monitor for new legislation,,01/05/2025
ND,North Dakota,right_to_try_standard,Standard RTT adopted,23/04/2015,0,0,0,medium,Standard RTT; small rural market; no specific exemption; limited commercial priority,,01/05/2025
OH,Ohio,right_to_try_standard,Standard RTT adopted,02/04/2015,0,0,0,medium,Standard RTT; large market; Columbus and Cleveland healthcare markets; no specific cell therapy exemption; significant commercial potential pending legislation; monitor closely,,01/05/2025
OK,Oklahoma,right_to_try_standard,Standard RTT adopted; conservative regulatory environment,01/11/2014,0,0,0,medium,Standard RTT; conservative state with limited regulatory enforcement capacity in wellness space; some commercial opportunity; monitor for specific legislation inspired by FL and UT,,01/05/2025
OR,Oregon,none,No RTT law; no specific cell therapy exemption; progressive regulatory environment,NA,0,0,0,high,No RTT; active state oversight aligned with FDA; not favorable for non-IND exosome commercial entry; avoid initially,,01/05/2025
PA,Pennsylvania,right_to_try_standard,Standard RTT adopted,03/11/2015,0,0,0,medium,Standard RTT; large market; Philadelphia and Pittsburgh significant healthcare hubs; no specific cell therapy exemption; monitor for new legislation,,01/05/2025
RI,Rhode Island,right_to_try_standard,Standard RTT adopted,15/07/2016,0,0,0,medium,Standard RTT; very small market; no specific exemption; limited commercial priority,,01/05/2025
SC,South Carolina,right_to_try_standard,Standard RTT adopted,02/06/2014,0,0,0,medium,Standard RTT; growing aesthetics and wellness market in Charleston and Hilton Head; no specific cell therapy exemption; monitor,,01/05/2025
SD,South Dakota,right_to_try_standard,Standard RTT adopted; conservative regulatory posture; limited enforcement resources,01/03/2015,0,0,0,medium,Standard RTT; conservative state; limited enforcement resources in wellness channel; some commercial opportunity; no specific cell therapy physician exemption,,01/05/2025
TN,Tennessee,right_to_try_standard,Standard RTT adopted,22/04/2014,0,0,0,medium,Standard RTT; significant healthcare market in Nashville; growing wellness industry; no specific cell therapy exemption; strong MSO and aesthetics market; monitor for new legislation closely,,01/05/2025
TX,Texas,right_to_try_2_0,RTT 2.0 signed June 2025; Compassionate Use Program (HB 810) covers specific conditions; significant exosome and regenerative clinic market; physician-administered pathways active in major metros,01/06/2025,1,0,1,medium,"PRIORITY STATE. RTT 2.0 active June 2025; major exosome clinic market in Dallas, Houston, Austin, San Antonio; CUP covers specific conditions; enforcement posture moderate given state size; large and accessible commercial market; second only to FL in market size",https://en.wikipedia.org/wiki/Individualized_Treatments_Acts,12/01/2026
UT,Utah,physician_exemption_active,"SB 199 Placental Tissue Amendment - healthcare providers may perform non-FDA-approved placental stem cell therapies with patient disclosure and signed informed consent; very broad provider scope includes physicians, naturopaths, midwives, audiologists; manufacturer certification pathway available",01/05/2024,1,1,0,low,PRIORITY STATE - TIER 1. SB 199 effective May 2024; very broad - placental-derived products including exosomes from birth tissue likely covered; minimal compliance bar (disclosure + consent); significant and growing exosome clinic activity; broad provider definition expands market beyond MDs; manufacturer certification creates partnership pathway,https://parentsguidecordblood.org/en/news/utah-attempts-legalize-placenta-cell-therapy,01/04/2024
VT,Vermont,none,No RTT law; no specific cell therapy exemption,NA,0,0,0,high,No RTT; small market; progressive state oversight; avoid for initial entry,,01/05/2025
VA,Virginia,right_to_try_standard,Standard RTT adopted,03/03/2016,0,0,0,medium,Standard RTT; significant market in Northern VA and Richmond; no specific cell therapy exemption; FDA-adjacent geography (Northern VA); monitor,,01/05/2025
WA,Washington,none,No specific cell therapy exemption; active state-level oversight aligned with FDA,NA,0,0,0,high,Active state oversight; FDA-aligned posture; not favorable for non-IND exosome commercial entry; Seattle biotech market research-only,,01/05/2025
WV,West Virginia,right_to_try_standard,Standard RTT adopted early 2014,04/04/2014,0,0,0,medium,Standard RTT; limited regulatory enforcement capacity; small market; some opportunity in wellness channel,,01/05/2025
WI,Wisconsin,right_to_try_standard,Standard RTT adopted,14/12/2015,0,0,0,medium,Standard RTT; significant market in Milwaukee and Madison; no specific cell therapy exemption; monitor,,01/05/2025
WY,Wyoming,right_to_try_advancing,SF 48 Stem Cell Freedom Act unanimously passed House Labor and Social Services Committee Feb 2026; authorizes physicians to recommend and perform stem cell therapies not FDA-approved using patients own autologous MSCs; builds on 2015 RTT Act,01/01/2026,1,0,0,medium,SF 48 advancing rapidly in 2026 legislature; passed committee unanimously Feb 25 2026; aligns with FL model; currently focused on autologous MSCs which may limit allogeneic exosome applicability; monitor final bill language for birth tissue or secretome inclusion; Montana and Wyoming competing for regenerative medicine investment,https://www.foreverlabs.com/articles/regulatory/what-you-need-to-know-about-senate-file-48-wyomings-proposed-stem-cell-freedom-act,17/02/2026
